Index,R,G,B
0,20,85,929
1,29,43,659
2,36,26,645
3,47,38,567
4,44,37,500
5,41,19,419
6,62,40,396
7,57,47,380
8,50,34,357
9,44,46,402
10,50,42,441
11,64,47,472
12,73,53,472
13,66,52,515
14,86,55,595
15,86,57,595
16,87,63,682
17,108,62,782
18,132,81,838
19,121,85,904
20,129,89,953
21,162,118,950
22,147,97,1013
23,151,149,1002
24,183,189,1125
25,206,237,1135
26,187,208,1140
27,200,217,1108
28,198,204,1158
29,227,249,1246
30,268,267,1303
31,250,286,1366
32,234,266,1421
33,304,350,1444
34,321,429,1378
35,343,428,1442
36,386,494,1337
37,424,595,1368
38,432,647,1370
39,399,681,1328
40,428,668,1366
41,435,620,1316
42,526,542,1303
43,580,537,1261
44,647,532,1389
45,750,546,1290
46,850,518,1325
47,875,550,1374
48,929,543,1406
49,845,574,1373
50,879,595,1391
51,899,615,1314
52,884,624,1322
53,877,600,1369
54,889,646,1322
55,858,622,1320
56,887,664,1221
57,924,633,1255
58,970,641,1154
59,966,604,1185
60,945,673,1126
61,897,692,1158
62,959,767,1201
63,920,732,1195
64,945,735,1141
65,890,781,1104
66,918,757,1138
67,891,749,1161
68,913,677,1148
69,886,744,1045
70,895,760,1053
71,863,743,1055
72,885,819,978
73,881,796,988
74,899,844,974
75,855,865,904
76,867,904,893
77,889,855,948
78,846,892,850
79,897,887,910
80,868,893,934
81,824,909,838
82,889,878,846
83,889,903,806
84,816,875,793
85,880,891,780
86,824,901,777
87,833,931,682
88,797,849,740
89,849,901,691
90,857,1039,736
91,837,1005,629
92,807,942,648
93,809,892,672
94,768,971,631
95,752,929,595
96,784,908,644
97,800,913,633
98,813,895,585
99,772,890,637
100,693,838,596
101,736,887,627
102,757,822,632
103,737,869,617
104,722,870,614
105,750,829,584
106,745,831,556
107,742,917,544
108,695,837,498
109,761,828,485
110,718,855,525
111,755,873,474
112,779,805,417
113,725,800,448
114,756,765,429
115,705,731,429
116,673,709,391
117,663,755,420
118,690,659,436
119,722,644,354
120,652,659,366
121,715,592,390
122,632,672,385
123,641,604,399
124,597,590,373
125,586,607,345
126,625,599,395
127,1218,1045,737
128,598,524,337
129,607,482,337
130,547,480,312
131,546,440,333
132,582,527,334
133,568,458,315
134,521,475,286
135,522,443,276
136,526,437,324
137,490,400,248
138,516,483,256
139,502,435,254
140,474,463,274
141,459,437,261
142,470,440,242
143,444,439,264
144,484,415,248
145,428,369,255
146,450,384,270
147,395,417,247
148,384,419,265
149,401,394,239
150,381,388,259
151,425,357,245
152,387,400,252
153,428,366,249
154,393,366,232
155,386,387,257
156,416,384,244
157,381,365,218
158,387,374,227
159,392,347,226
160,406,402,231
161,418,387,248
162,368,363,220
163,395,367,199
164,387,355,255
165,373,398,231
166,408,395,199
167,415,365,226
168,404,408,241
169,424,381,222
170,372,443,225
171,429,458,224
172,424,423,184
173,382,416,207
174,381,423,196
175,391,413,215
176,365,386,216
177,366,376,232
178,395,408,206
179,369,415,215
180,394,401,231
181,406,362,216
182,376,393,236
183,385,386,213
184,388,351,200
185,377,378,222
186,414,420,237
187,401,396,214
188,433,377,231
189,452,383,229
190,461,412,264
191,439,395,242
192,416,440,242
193,402,403,251
194,413,408,241
195,447,377,246
196,478,410,218
197,499,425,230
198,541,403,249
199,524,416,215
200,480,419,222
201,543,389,225
202,563,401,233
203,582,425,265
204,557,469,250
205,540,470,238
206,575,515,253
207,675,464,282
208,676,464,252
209,674,540,307
210,741,515,276
211,748,558,254
212,748,523,293
213,813,589,266
214,767,676,277
215,760,694,338
216,751,728,287
217,771,717,283
218,724,671,292
219,656,693,270
220,641,653,287
221,656,621,293
222,592,630,256
223,551,724,216
224,498,699,233
225,483,707,220
226,471,725,223
227,486,797,220
228,498,762,228
229,477,860,210
230,480,972,246
231,483,1081,224
232,485,1058,291
233,448,1014,296
234,515,1000,295
235,479,1001,292
236,477,988,253
237,526,1074,257
238,568,1014,219
239,610,1040,187
240,599,919,136
241,672,945,144
242,667,870,111
243,643,701,102
244,624,659,129
245,627,535,93
246,582,490,107
247,600,502,88
248,503,487,66
249,491,397,63
250,507,429,47
251,490,431,52
252,496,327,32
253,362,184,33
254,310,106,57
255,0,0,0
Mean,130.35,135.55,84.08
STD,66.36,67.53,61.06
