Index,R,G,B
0,768,768,1807
1,0,0,252
2,0,0,310
3,0,0,418
4,0,0,597
5,0,0,798
6,0,1,1023
7,0,0,1162
8,0,0,1347
9,0,4,1668
10,0,2,1828
11,0,6,2213
12,0,10,2544
13,0,7,2459
14,0,9,2979
15,0,20,3091
16,0,41,3237
17,1,55,2804
18,0,101,3180
19,1,192,2977
20,0,304,2724
21,0,365,3043
22,0,470,2586
23,2,664,2666
24,25,380,2327
25,61,710,2504
26,61,838,2044
27,183,696,2405
28,341,633,2007
29,649,751,1773
30,614,611,2094
31,638,890,1892
32,711,834,1807
33,1012,701,1505
34,721,702,1791
35,576,832,1599
36,781,967,1610
37,815,858,1492
38,1157,1079,1463
39,849,1039,1501
40,910,1050,1643
41,846,1192,1415
42,1041,1283,1372
43,1589,1431,1478
44,1159,1640,1561
45,936,1586,1248
46,1404,1440,1244
47,1286,1902,1344
48,1833,1855,1269
49,951,1675,1375
50,1326,1809,1191
51,1390,2015,1316
52,1375,1801,1239
53,1933,1885,1566
54,1613,1885,1150
55,1695,1820,1257
56,1403,1982,1306
57,2411,2052,1150
58,2148,1812,1334
59,1944,1939,1241
60,1614,1934,1324
61,2261,1865,1247
62,2756,1894,1519
63,2383,1890,1224
64,1986,1868,1507
65,2099,1899,1388
66,2809,2024,1302
67,2802,1943,1680
68,2369,1884,1742
69,2135,1723,1487
70,2252,1912,1648
71,2630,1857,2123
72,2676,1841,1932
73,1987,1800,1577
74,2049,1985,1871
75,2108,1869,1953
76,2807,2197,1673
77,2206,1817,2168
78,2030,2351,2154
79,2138,2164,2028
80,2294,2093,1847
81,3103,2117,2042
82,2143,2179,2200
83,2398,2239,2471
84,2528,2046,2078
85,3105,2240,2440
86,2636,1986,2615
87,2641,2258,3244
88,2554,2029,2308
89,1918,2213,3101
90,2687,1926,3506
91,2692,2159,3086
92,2192,2080,3340
93,1875,2097,3640
94,1913,2207,3238
95,2083,2821,2984
96,2894,2386,4113
97,1663,2812,3910
98,1551,2920,2775
99,4939,6393,7299
100,2124,2561,4075
101,1700,3254,3266
102,1444,3093,3477
103,1576,2600,4268
104,1302,3010,3371
105,1685,2831,5011
106,1513,2383,5626
107,1223,2032,5057
108,1026,2581,7598
109,1360,2283,12288
110,1570,2525,11391
111,1334,2465,12100
112,1099,2627,10746
113,1321,2627,9220
114,1316,2770,9532
115,2056,3210,8154
116,1403,3837,5477
117,1638,2294,3696
118,2041,3827,3563
119,1813,4017,3302
120,2769,3260,3190
121,2269,3122,2552
122,2549,4710,3637
123,2457,5151,2813
124,4631,3756,3601
125,6662,6103,4420
126,3478,6867,4602
127,10549,12566,7823
128,5664,9602,3898
129,3823,6193,3297
130,5251,11058,2397
131,4400,7758,2199
132,5650,8278,1624
133,9559,8838,1758
134,9000,6402,1094
135,3937,3674,985
136,9994,3759,602
137,7284,4703,688
138,8314,3946,567
139,5192,2997,586
140,5298,3064,417
141,4433,3098,437
142,4735,2680,460
143,6031,2594,406
144,3993,2271,499
145,2378,2607,503
146,3866,2846,394
147,3976,2653,435
148,3713,3418,432
149,2565,2755,433
150,3107,4206,317
151,2383,3602,330
152,4416,3465,255
153,3151,3156,258
154,3423,3525,253
155,3963,1969,195
156,2901,2183,210
157,4273,1506,204
158,2558,1723,181
159,2327,1574,184
160,1443,1306,176
161,1832,1585,168
162,2105,1463,132
163,1399,1065,143
164,1236,1347,139
165,1620,819,183
166,1661,876,167
167,2130,684,172
168,1239,638,167
169,1664,585,152
170,1043,599,124
171,997,475,105
172,1137,447,84
173,754,428,96
174,695,438,67
175,630,362,69
176,726,347,79
177,545,360,75
178,523,327,48
179,485,339,44
180,422,393,40
181,589,387,47
182,555,349,34
183,513,292,33
184,437,309,20
185,560,240,24
186,566,265,23
187,422,204,17
188,404,208,27
189,379,191,16
190,392,175,9
191,433,169,18
192,355,154,10
193,339,113,10
194,336,148,8
195,343,108,10
196,323,131,8
197,324,140,6
198,277,120,6
199,247,121,4
200,295,124,8
201,284,108,10
202,294,88,5
203,243,124,6
204,266,132,3
205,287,120,3
206,282,128,2
207,266,128,5
208,236,120,3
209,237,117,2
210,255,120,1
211,281,101,1
212,239,97,2
213,198,88,0
214,215,100,3
215,241,94,1
216,257,56,0
217,183,45,1
218,176,50,1
219,153,42,1
220,136,37,1
221,190,39,1
222,119,46,0
223,121,48,1
224,138,30,3
225,96,32,1
226,165,32,1
227,97,28,0
228,112,27,0
229,91,21,1
230,108,16,1
231,119,14,1
232,97,16,6
233,92,7,1
234,93,13,0
235,87,7,3
236,90,9,2
237,75,10,0
238,92,9,0
239,71,7,2
240,102,7,1
241,87,8,3
242,83,4,0
243,73,3,0
244,73,3,0
245,78,4,1
246,68,4,1
247,74,3,0
248,53,3,0
249,74,1,0
250,62,2,1
251,49,6,1
252,48,2,0
253,24,1,0
254,580,51,1
255,0,0,0
Mean,117.05,110.31,85.29
STD,40.67,37.24,39.13
